measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,14,Maldives,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,5631.33025411061,6758.185020148222,4637.31343305634
6,Incidence,75,Austria,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,336069.9467448741,389826.491752577,287461.57061732444
6,Incidence,185,Rwanda,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,313852.3568618621,372962.21696115186,261626.74075231358
6,Incidence,27,Samoa,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,3468.6741564544195,4207.64406092662,2831.8969143591917
6,Incidence,172,Equatorial Guinea,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,22293.638414235833,26763.90422246542,18402.888157730024
6,Incidence,15,Myanmar,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,438071.8422812686,530692.075655219,361079.7722640367
6,Incidence,374,Niue,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,56.17567492989649,70.28252918863507,45.032609059493794
6,Incidence,376,Northern Mariana Islands,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,919.9230777128064,1125.122154217627,756.3401427260177
6,Incidence,101,Canada,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,936543.4277118464,1065757.412544723,820882.8963224373
6,Incidence,88,Malta,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,12381.842962560151,14497.26754278087,10598.071957103946
6,Incidence,198,Zimbabwe,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,203585.3635594334,242832.0425162051,168467.16611422846
6,Incidence,16,Philippines,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,1372743.847755302,1626229.86566419,1140736.7428780228
6,Incidence,186,Seychelles,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,1479.6434965438768,1771.4614735875552,1241.9640301114623
6,Incidence,112,Grenada,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,2632.1673517548675,3088.4610943882008,2240.6799171167495
6,Incidence,89,Netherlands,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,662107.0154822487,722083.983808582,604111.6135127014
6,Incidence,76,Belgium,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,393795.01176119986,429586.52631051047,359836.3700540494
6,Incidence,77,Cyprus,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,24462.460633313167,28951.788760575753,20700.585984627727
6,Incidence,125,Colombia,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,676103.1247525663,802565.9057228261,564878.6995552976
6,Incidence,111,Dominican Republic,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,259201.60087343914,308031.85340169136,215945.00541608935
6,Incidence,136,Paraguay,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,133709.96627262342,159888.93294313477,111056.44982065009
6,Incidence,148,Morocco,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,1330159.0100807848,1591112.4275102946,1101973.8353051557
6,Incidence,380,Palau,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,396.2163228182099,506.208405448735,305.96173909581086
6,Incidence,54,Slovakia,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,153578.96346504334,179681.5036329921,132559.11714176537
6,Incidence,162,Bhutan,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,20173.273024152557,24262.01206522163,16885.570195839195
6,Incidence,39,Tajikistan,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,114304.3059080164,136561.45210832622,96852.72096057824
6,Incidence,6,China,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,28952254.106864776,33299106.21043054,24864442.86776546
6,Incidence,113,Guyana,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,37395.15694226651,45008.52818101524,31351.4984122057
6,Incidence,200,Benin,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,143523.87547229647,170217.8931560975,119824.75732978662
6,Incidence,90,Norway,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,131184.8421290135,151979.24667157663,113070.64273108909
6,Incidence,91,Portugal,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,650103.981730037,759858.1691695217,563276.5311766885
6,Incidence,43,Albania,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,56947.56531557572,67990.89718067124,47856.500052392854
6,Incidence,139,Algeria,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,983482.9845275071,1192217.8912602232,815311.6785862116
6,Incidence,211,Mali,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,207528.6032151911,246302.29492881455,174208.80202880743
6,Incidence,522,Sudan,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,831396.9027931371,1010788.5461262637,680759.3351681981
6,Incidence,52,Romania,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,620945.3043937999,722558.3244453878,525742.3915481417
6,Incidence,385,Puerto Rico,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,114380.73946322629,131827.791436936,98079.37304543273
6,Incidence,150,Oman,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,69209.6490312486,83957.53751464121,56833.61133724862
6,Incidence,298,American Samoa,3,Both,22,All Ages,568,Major depressive disorder,1,Number,1990,842.2775546711008,1025.7111233472747,691.1199791955789
